pathogen_type,intervention_category,sub_measure,data_status,estimation_method,unit_definition,estimated_le_gain_years,estimated_le_gain_years_10pp_scenario,scenario_magnitude_flag,coefficient_per_1pp,coefficient_p_value,scenario_coverage_increase_pp,scenario_coverage_increase_pp_secondary,evidence_caveat,model_sample_warning,version,date_added,priority_rank,methodology,measured_sample_count_pathogen_type,aggregate_reliability_flag,quality_gate,gate_reason,priority_rank_ungated
bacterial,vaccination,pcvc_coverage,measured,stage5_ols_coefficient_x_scenario_coverage_increase,per 1 percentage-point increase in coverage (primary); 10pp illustrative secondary,0.2189146111433118,2.189146111433118,implausible_magnitude_likely_confounding,0.2189146111433118,0.5553367531175379,1.0,10.0,"Illustrative projection from Stage 5 pooled OLS — suggestive association only, not causal attribution (Justice Section 8). Hib evidence base thinner than PCV (Iwu-Jaja et al. 2026 scoping review; plan Part 3.7). PCV coefficient not statistically significant in Stage 5 model. Stage 5 model reliability warning: small_sample_not_for_causal_claims.",small_sample_not_for_causal_claims,v1,2026-07-18,,"Rank measured intervention categories by estimated_le_gain_years (per 1pp coverage scenario, primary). Data-gap and excluded_by_design categories carry null rank with explicit status — not fabricated LE estimates. Gated: confounded or data-gap categories excluded from priority_rank.",2,below_min_samples_for_aggregate_claims,withhold,model_sample_warning:small_sample_not_for_causal_claims,1.0
bacterial,vaccination,hib3_coverage,measured,stage5_ols_coefficient_x_scenario_coverage_increase,per 1 percentage-point increase in coverage (primary); 10pp illustrative secondary,-0.0733151823640168,-0.733151823640168,within_illustrative_threshold,-0.0733151823640168,0.1331773825591139,1.0,10.0,"Illustrative projection from Stage 5 pooled OLS — suggestive association only, not causal attribution (Justice Section 8). Hib evidence base thinner than PCV (Iwu-Jaja et al. 2026 scoping review; plan Part 3.7). Hib represented in only 2 of 62 vaccine-AMR studies in Iwu-Jaja et al. Stage 5 model reliability warning: small_sample_not_for_causal_claims.",small_sample_not_for_causal_claims,v1,2026-07-18,,"Rank measured intervention categories by estimated_le_gain_years (per 1pp coverage scenario, primary). Data-gap and excluded_by_design categories carry null rank with explicit status — not fabricated LE estimates. Gated: confounded or data-gap categories excluded from priority_rank.",2,below_min_samples_for_aggregate_claims,withhold,evidence_thin_hib_literature,2.0
bacterial,antibiotic_stewardship,,data_gap,not_estimable,,,,,,,,,no local stewardship program measure,,v1,2026-07-18,,"Rank measured intervention categories by estimated_le_gain_years (per 1pp coverage scenario, primary). Data-gap and excluded_by_design categories carry null rank with explicit status — not fabricated LE estimates. Gated: confounded or data-gap categories excluded from priority_rank.",2,below_min_samples_for_aggregate_claims,withhold,data_gap,
bacterial,diagnostics,,data_gap,not_estimable,,,,,,,,,no local diagnostic-capacity measure (health expenditure proxy not validated),,v1,2026-07-18,,"Rank measured intervention categories by estimated_le_gain_years (per 1pp coverage scenario, primary). Data-gap and excluded_by_design categories carry null rank with explicit status — not fabricated LE estimates. Gated: confounded or data-gap categories excluded from priority_rank.",2,below_min_samples_for_aggregate_claims,withhold,data_gap,
bacterial,rd,global_amr_rd_hub_funding,funding_only_no_le_elasticity,stage6_funding_alignment_only,total prorated USD (not mapped to LE years),,,,,,,,"Stage 6 total prorated funding USD 16,842,499,025; no local R&D-to-burden-to-LE model exists. Hub excludes private/VC funding (Justice Section 8).",,v1,2026-07-18,,"Rank measured intervention categories by estimated_le_gain_years (per 1pp coverage scenario, primary). Data-gap and excluded_by_design categories carry null rank with explicit status — not fabricated LE estimates. Gated: confounded or data-gap categories excluded from priority_rank.",2,below_min_samples_for_aggregate_claims,withhold,funding_only_no_le_elasticity,
bacterial,wash_infection_prevention,,data_gap,not_estimable,,,,,,,,,no local WASH or infection-prevention measure,,v1,2026-07-18,,"Rank measured intervention categories by estimated_le_gain_years (per 1pp coverage scenario, primary). Data-gap and excluded_by_design categories carry null rank with explicit status — not fabricated LE estimates. Gated: confounded or data-gap categories excluded from priority_rank.",2,below_min_samples_for_aggregate_claims,withhold,data_gap,
fungal,antifungal_stewardship,,data_gap,not_estimable,,,,,,,,,no local antifungal stewardship measure,,v1,2026-07-18,,"Rank measured intervention categories by estimated_le_gain_years (per 1pp coverage scenario, primary). Data-gap and excluded_by_design categories carry null rank with explicit status — not fabricated LE estimates. Gated: confounded or data-gap categories excluded from priority_rank.",0,below_min_samples_for_aggregate_claims,withhold,data_gap,
fungal,diagnostics,,data_gap,not_estimable,,,,,,,,,no local diagnostic-capacity measure,,v1,2026-07-18,,"Rank measured intervention categories by estimated_le_gain_years (per 1pp coverage scenario, primary). Data-gap and excluded_by_design categories carry null rank with explicit status — not fabricated LE estimates. Gated: confounded or data-gap categories excluded from priority_rank.",0,below_min_samples_for_aggregate_claims,withhold,data_gap,
fungal,infection_prevention_control,,data_gap,not_estimable,,,,,,,,,no local IPC measure,,v1,2026-07-18,,"Rank measured intervention categories by estimated_le_gain_years (per 1pp coverage scenario, primary). Data-gap and excluded_by_design categories carry null rank with explicit status — not fabricated LE estimates. Gated: confounded or data-gap categories excluded from priority_rank.",0,below_min_samples_for_aggregate_claims,withhold,data_gap,
fungal,rd,global_amr_rd_hub_funding,funding_only_no_le_elasticity,stage6_funding_alignment_only,total prorated USD (not mapped to LE years),,,,,,,,"Stage 6 total prorated funding USD 901,054,984; no local R&D-to-burden-to-LE model exists. Hub excludes private/VC funding (Justice Section 8).",,v1,2026-07-18,,"Rank measured intervention categories by estimated_le_gain_years (per 1pp coverage scenario, primary). Data-gap and excluded_by_design categories carry null rank with explicit status — not fabricated LE estimates. Gated: confounded or data-gap categories excluded from priority_rank.",0,below_min_samples_for_aggregate_claims,withhold,funding_only_no_le_elasticity,
fungal,vaccination,,excluded_by_design,not_applicable,,,,,,,,,No licensed Candida or Aspergillus vaccine (Justice Section 6 Stage 7).,,v1,2026-07-18,,"Rank measured intervention categories by estimated_le_gain_years (per 1pp coverage scenario, primary). Data-gap and excluded_by_design categories carry null rank with explicit status — not fabricated LE estimates. Gated: confounded or data-gap categories excluded from priority_rank.",0,below_min_samples_for_aggregate_claims,withhold,excluded_by_design,
